database_name,database_oid,schema_name,schema_oid,table_name,table_oid,column_name,column_index,comment,internal,column_default,is_nullable,data_type,data_type_id,character_maximum_length,numeric_precision,numeric_precision_radix,numeric_scale
L1_forecast_accuracy,629,main,590,dim_calendar,593,date,1,,false,,true,DATE,15,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,wm_yr_wk,2,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,weekday,3,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,wday,4,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,month,5,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,year,6,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,d,7,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,event_name_1,8,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,event_type_1,9,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,event_name_2,10,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,event_type_2,11,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_calendar,593,snap_CA,12,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,snap_TX,13,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_calendar,593,snap_WI,14,,false,,true,BIGINT,14,,64,2,0
L1_forecast_accuracy,629,main,590,dim_product,599,category_id,1,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_product,599,department_id,2,,false,,true,VARCHAR,25,,,,
L1_forecast_accuracy,629,main,590,dim_product,599,product_id,3,,false,,true,VARCHAR,25,,,,
